title,house_name,price,position_info,longitude,latitude,url
郎晴居二期 高层南向望江 全景无遮挡,朗晴居二期,54860,滨江中,113.279217,23.116053,https://gz.lianjia.com/ershoufang/GZ0003030524.html
东华花园 南向3房单位 装修保养好,东华花园,23838,市桥,113.401869,22.950737,https://gz.lianjia.com/ershoufang/GZ0003095781.html
侨源山庄 电梯三房两卫 环境优美舒适,侨源山庄雅侨楼,38062,粤垦,113.335,23.16142,https://gz.lianjia.com/ershoufang/GZ0003039386.html
华南碧桂园 翠云山 六米阳光,华南碧桂园翠云山,29818,华南,113.383863,23.00782,https://gz.lianjia.com/ershoufang/GZ0003039466.html
珠江帝景苑克莱公寓 高层五房 业主诚心售,珠江帝景苑克莱国际公寓灏景轩,63025,赤岗,113.333391,23.110206,https://gz.lianjia.com/ershoufang/GZ0002550957.html
一尺山居高层三房 过五年住房,广州雅居乐花园一尺山居,37000,华南,113.365809,23.015465,https://gz.lianjia.com/ershoufang/GZ0002716501.html
芳草园 精装三房 大型花园小区 安静,芳草园A区,72619,天河北,113.343452,23.147606,https://gz.lianjia.com/ershoufang/GZ0002839515.html
南向 三房 全新装修 即买即住,方圆月岛,93000,珠江新城中,113.33694,23.12512,https://gz.lianjia.com/ershoufang/GZ0002235949.html
小北下塘西路 靠山望林 双阳台三房隔局,下塘西路,26667,麓景,113.2808,23.151624,https://gz.lianjia.com/ershoufang/GZ0003095984.html
华南碧桂园碧翠苑南向大两房靠会所100米,华南碧桂园碧翠苑,29750,华南,113.365891,23.001004,https://gz.lianjia.com/ershoufang/GZ0003050869.html
陈家祠 龙津大厦 三房两厅 交通便利,龙津大厦,40000,西关,113.25266,23.129003,https://gz.lianjia.com/ershoufang/GZ0002980281.html
豪景花园 采光好 格局方正,豪景花园,34837,粤垦,113.32241,23.160951,https://gz.lianjia.com/ershoufang/GZ0003046161.html
尚东美御 实用四房 望珠江公园 景观优,尚东美御,72626,珠江新城东,113.340488,23.129151,https://gz.lianjia.com/ershoufang/GZ0002301966.html
旭景家园 温馨三房 安静望花园,旭景家园A区,38319,东圃,113.40837,23.134231,https://gz.lianjia.com/ershoufang/GZ0002243262.html
保利花园 楼梯实用三房交通方便 望花园,保利花园静雅街,41852,工业大道中,113.280555,23.078785,https://gz.lianjia.com/ershoufang/GZ0002754310.html
珠岛花园 五期 四房二厅 间隔方正实用,珠岛花园五期,34039,大坦沙,113.22948,23.13575,https://gz.lianjia.com/ershoufang/GZ0002768256.html
华景陶然庭苑 东南向三房 精装修 户型好,华景新城陶然庭园,63766,华景新城,113.36671,23.14856,https://gz.lianjia.com/ershoufang/GZ0002879712.html
华景新城五期 电梯大三房带主套 新装修,华景新城怡华台,57143,华景新城,113.368997,23.146483,https://gz.lianjia.com/ershoufang/GZ0002945412.html
